total_number_account,Amount_Allocated,Amount_Collected,Account_number,Cusstomer Name ,No_unique_visit,Bucket,Agency Name,Regions,Zone,Sector,product_type
2073,13313,13312,L58245066694884K,Sxnamw Vdghbf,13,SMA 2,Agency 7,Andaman and Nicobar Islands,West + Central India,Energy,Car Loan
1960,186913,57285,M85167354209941N,Vtsxoi Numctp,17,SMA 1,Agency 7,Chandigarh,West + Union Territories,Automotive,Loan Against Property
387,18129,18128,M70088603956625T,Resyuv Bdirky,10,SMA 0,Agency 4,Dadra and Nagar Haveli and Daman and Diu,Northeast + Central India,Retail,Loan Against Property
2049,142245,71265,S77583853516020G,Llqjfv Forezn,17,SMA 1,Agency 6,Lakshadweep,Northeast + Union Territories,Pharmaceuticals,Gold Loan
349,81719,81718,L67601895275374K,Bymvow Yrbvqo,18,SMA 1,Agency 6,Delhi,Central + Union Territories,Finance,Home Loan
2284,235016,77996,O11651033388765J,Iqqpdt Shxppb,18,SMA 2,Agency 6,Haryana,North + East India,Healthcare,Home Loan
1444,235217,195904,C94682900831516M,Wmhjbz Kppuir,20,SMA 1,Agency 2,Himachal Pradesh,North + West India,Automotive,Education Loan
1445,151598,151597,J22844961138783T,Qbzugq Hvmcuq,15,SMA 1,Agency 8,Jammu and Kashmir,North + Northeast India,Manufacturing,Gold Loan
707,49679,49678,T23937550962260G,Hxuwhi Uaqoxg,17,SMA 1,Agency 7,Punjab,North + Central India,Healthcare,Personal Loan
725,5708,5707,L92467184861862F,Dgcbtt Emjrjn,15,SMA 2,Agency 5,Rajasthan,North + Union Territories,Telecommunications,Personal Loan
1840,68506,68505,C70849108243948E,Vgckkf Pujuby,18,SMA 1,Agency 8,Uttar Pradesh,South + East India,Technology,Business Loan
1533,184920,25130,T95374430991839K,Uwzisz Nwmtvx,17,SMA 1,Agency 1,Uttarakhand,South + West India,Food and Beverage,Overdraft Facility
1268,106832,106831,M81465393044496U,Wplbpi Wssdut,12,SMA 0,Agency 3,Andhra Pradesh,South + Northeast India,Healthcare,Home Loan
1611,202510,130297,G63586425367866M,Cxoyrd Dznpti,11,SMA 1,Agency 7,Karnataka,South + Central India,Food and Beverage,Mortgage Loan
235,237373,75931,Y97918704565538S,Opqcgo Zgadyy,18,SMA 1,Agency 2,Kerala,South + Union Territories,Finance,Personal Loan
2120,34054,34053,N62489981514155B,Nufnrv Elydow,14,SMA 1,Agency 3,Tamil Nadu,East + West India,Healthcare,Overdraft Facility
1749,49725,49724,R80936238757251J,Nusttr Mjbyne,16,SMA 2,Agency 5,Telangana,East + Northeast India,Automotive,Personal Loan
578,120093,83598,M58896559562472O,Aqicpr Zevuri,17,SMA 2,Agency 6,Bihar,East + Central India,Food and Beverage,Business Loan
519,91114,91113,P47506976583257U,Okzxhx Emyjmj,12,SMA 2,Agency 4,Jharkhand,East + Union Territories,Finance,Education Loan
1724,164350,164349,D79452149101602D,Zrdkde Xolpra,16,SMA 0,Agency 5,Odisha,West + Northeast India,Technology,Business Loan
2361,130750,91915,D25292798176382E,Qpfhdc Medxuh,16,SMA 1,Agency 3,West Bengal,West + Central India,Automotive,Business Loan
1154,180869,180868,R86252946973094H,Exslkf Qumchh,11,SMA 0,Agency 2,Sikkim,West + Union Territories,Retail,Loan Against Property
1847,112710,112709,W82458695248454F,Gpdkll Jussfa,17,SMA 1,Agency 3,Andaman and Nicobar Islands,Northeast + Central India,Manufacturing,Gold Loan
1030,16994,16993,Q84054510808292T,Dobkdz Qlxkfd,10,SMA 2,Agency 8,Goa,Northeast + Union Territories,Healthcare,Personal Loan
412,211448,171899,J89487644987604F,Qqwqeb Ixkhxu,14,SMA 0,Agency 2,Gujarat,Central + Union Territories,Energy,Education Loan
1829,235001,94375,R77292276703965M,Lgnihe Conibx,13,SMA 2,Agency 3,Maharashtra,North + East India,Finance,Business Loan
1800,177664,29470,F76445126269654N,Wmyeel Ekqjiq,11,SMA 2,Agency 1,Dadra and Nagar Haveli and Daman and Diu,North + West India,Finance,Personal Loan
906,153074,153073,J89994991019044F,Xkfdil Pjfkpl,12,SMA 2,Agency 4,Arunachal Pradesh,North + Northeast India,Food and Beverage,Overdraft Facility
836,27089,27088,O50149622237722M,Ssrnij Yqkpqv,11,SMA 2,Agency 5,Assam,North + Central India,Food and Beverage,Car Loan
2331,101718,66024,A21491084283914S,Ncyqwr Uycajc,11,SMA 2,Agency 2,Manipur,North + Union Territories,Manufacturing,Gold Loan
2454,20910,6925,Q84419090416257R,Xmpexp Nicfij,14,SMA 0,Agency 3,Meghalaya,South + East India,Technology,Overdraft Facility
166,199923,199922,R82510689602064Z,Muzcoy Xqjeez,18,SMA 1,Agency 8,Mizoram,South + West India,Automotive,Overdraft Facility
683,180872,180871,P18168860854370P,Jalmcl Jovpjz,15,SMA 1,Agency 5,Nagaland,South + Northeast India,Healthcare,Mortgage Loan
1194,109812,99664,D25675438635710O,Yeseex Etqxed,13,SMA 1,Agency 4,Tripura,South + Central India,Food and Beverage,Loan Against Property
1208,139973,139972,Q48991294158107C,Hmwouz Ubilvp,11,SMA 0,Agency 8,and the hill states of Himachal Pradesh,South + Union Territories,Retail,Business Loan
2157,11623,11622,P50836866405793K,Kxzxeq Sywxpf,16,SMA 0,Agency 6,Tripura,East + West India,Telecommunications,Overdraft Facility
706,42398,42397,N73579664931051E,Fkznoz Pnivzy,19,SMA 2,Agency 6,and Sikkim,East + Northeast India,Telecommunications,Business Loan
786,139181,139180,H90664331149439D,Dhruve Hyjehl,16,SMA 0,Agency 7,Chhattisgarh,East + Central India,Automotive,Business Loan
1886,94219,94218,U29751735417196N,Naebyo Nmkwff,16,SMA 1,Agency 2,Madhya Pradesh,East + Union Territories,Finance,Education Loan
752,91356,91355,R55786313903128H,Mjoyhi Hnsppe,17,SMA 1,Agency 8,Andaman and Nicobar Islands,West + Northeast India,Technology,Overdraft Facility
723,49203,49202,A81841423005878I,Hlhtgc Chiaef,10,SMA 2,Agency 2,Chandigarh,West + Central India,Automotive,Education Loan
795,101134,101133,O99786175321710S,Erbwmp Nyrjbn,17,SMA 1,Agency 5,Dadra and Nagar Haveli and Daman and Diu,West + Union Territories,Retail,Consumer Durable Loan
1079,190501,168696,T47335429760104U,Bzehjp Ymwjfb,16,SMA 1,Agency 3,Lakshadweep,Northeast + Central India,Manufacturing,Car Loan
247,207927,207926,V61556841271668O,Rrzadm Vjoopd,15,SMA 0,Agency 6,Puducherry,Northeast + Union Territories,Telecommunications,Gold Loan
587,39109,39108,D63040405438984L,Nvyhxh Hnkagf,13,SMA 0,Agency 3,Delhi,Central + Union Territories,Technology,Loan Against Property
403,220587,127717,G33698072792527O,Ihukde Ttegtg,15,SMA 0,Agency 1,Haryana,North + East India,Telecommunications,Business Loan
702,83133,83132,H37853667438228A,Lzafcs Yhabdo,15,SMA 2,Agency 6,Himachal Pradesh,North + West India,Energy,Home Loan
2274,20007,20006,H98950370976642N,Bcfauc Hdwdgm,16,SMA 2,Agency 6,Jammu and Kashmir,North + Northeast India,Food and Beverage,Home Loan
999,70781,70780,J45217292582566W,Qbektv Qycvqc,11,SMA 2,Agency 7,Punjab,North + Central India,Food and Beverage,Car Loan
792,178178,178177,X75515956921586O,Ncnylx Vibzqh,17,SMA 1,Agency 1,Rajasthan,North + Union Territories,Telecommunications,Personal Loan
1980,81285,81284,L35944873139212L,Qfcbls Yvaoyv,12,SMA 0,Agency 6,Uttar Pradesh,South + East India,Manufacturing,Education Loan
2202,13768,13767,T40341101739936L,Szramp Mbbzap,13,SMA 2,Agency 8,Uttarakhand,South + West India,Manufacturing,Car Loan
1264,170908,135128,S22175783327165Z,Vqjwao Wkrvre,20,SMA 0,Agency 2,Andhra Pradesh,South + Northeast India,Retail,Home Loan
1016,181872,181871,V79316051968609O,Iudihe Ewpryg,11,SMA 2,Agency 4,Karnataka,South + Central India,Food and Beverage,Overdraft Facility
714,70934,70933,T54585125557480Z,Dmmpmx Uysovw,16,SMA 2,Agency 2,Kerala,South + Union Territories,Finance,Car Loan
2463,230006,160630,Q89798343109756T,Rnutio Nzogja,17,SMA 0,Agency 3,Tamil Nadu,East + West India,Technology,Loan Against Property
2321,237804,17015,Q94200837118188L,Eaymxe Dewdrw,13,SMA 2,Agency 4,Telangana,East + Northeast India,Food and Beverage,Education Loan
170,110023,24423,G16169508981277G,Uothbl Dblqqs,20,SMA 0,Agency 7,Bihar,East + Central India,Automotive,Personal Loan
1129,26478,26477,U13051710655206O,Dspcee Tzyzec,14,SMA 0,Agency 5,Jharkhand,East + Union Territories,Healthcare,Home Loan
1124,195203,81094,G45587440093348P,Xoivvr Wgbwiu,20,SMA 0,Agency 3,Odisha,West + Northeast India,Manufacturing,Gold Loan
353,127137,127136,I44227581740173S,Ztvxqt Krghmv,18,SMA 2,Agency 3,West Bengal,West + Central India,Automotive,Education Loan
1259,83345,83344,F89808159337166A,Nlfajn Ujqlpv,18,SMA 0,Agency 4,Sikkim,West + Union Territories,Pharmaceuticals,Home Loan
1012,187865,48200,E80008777370168F,Iiduqa Pxzfkj,14,SMA 1,Agency 5,Andaman and Nicobar Islands,Northeast + Central India,Manufacturing,Consumer Durable Loan
793,219162,180224,X93872170450196A,Fzhomd Zeumcu,11,SMA 1,Agency 5,Goa,Northeast + Union Territories,Healthcare,Mortgage Loan
1275,160070,150736,F14877718633798Y,Ynhqmk Jwgpsu,14,SMA 1,Agency 3,Gujarat,Central + Union Territories,Retail,Overdraft Facility
2187,209785,193941,Z37099913221487E,Lxisdd Lwyeht,13,SMA 1,Agency 7,Maharashtra,North + East India,Pharmaceuticals,Home Loan
2103,211971,43086,Q37687673282823N,Avdtek Pfdaar,16,SMA 2,Agency 7,Dadra and Nagar Haveli and Daman and Diu,North + West India,Finance,Gold Loan
1572,50958,50957,M25567237977470A,Aerrxs Bxfkge,11,SMA 0,Agency 7,Arunachal Pradesh,North + Northeast India,Food and Beverage,Loan Against Property
974,91946,91945,C98943347613414R,Kttfdf Jnoggq,18,SMA 1,Agency 2,Assam,North + Central India,Energy,Education Loan
1087,10823,10822,P67011601382124W,Vzqgdi Rkieuo,16,SMA 0,Agency 7,Manipur,North + Union Territories,Retail,Personal Loan
1645,24429,22013,C43896919938184V,Rytvvg Wyhlrp,16,SMA 0,Agency 8,Meghalaya,South + East India,Pharmaceuticals,Gold Loan
919,141488,141487,K85827242443872W,Lxzszy Xsvnus,19,SMA 1,Agency 1,Mizoram,South + West India,Pharmaceuticals,Consumer Durable Loan
324,7329,7328,I16025077665862P,Wudwmb Yjuapr,15,SMA 2,Agency 1,Nagaland,South + Northeast India,Automotive,Consumer Durable Loan
2492,32030,32029,H28788082771946H,Qgnxvn Qqyltj,16,SMA 0,Agency 4,Tripura,South + Central India,Technology,Personal Loan
1417,8501,8500,B55541743917691F,Owjibq Txifwm,11,SMA 2,Agency 7,and the hill states of Himachal Pradesh,South + Union Territories,Telecommunications,Home Loan
341,218937,177371,S67120769866603S,Wfpzeh Dzmohe,18,SMA 2,Agency 4,Tripura,East + West India,Finance,Mortgage Loan
2113,210854,44127,M48116032936398C,Rdhmqj Zfuptx,14,SMA 2,Agency 5,and Sikkim,East + Northeast India,Manufacturing,Business Loan
313,147337,147336,N40705070877274J,Axjnps Hnfuiu,14,SMA 1,Agency 2,Chhattisgarh,East + Central India,Energy,Home Loan
967,196966,174499,G91609523653427Y,Sajkmy Cushzm,12,SMA 2,Agency 5,Madhya Pradesh,East + Union Territories,Pharmaceuticals,Car Loan
191,87497,25369,Q27102750772815L,Jlcvyk Yerkxr,13,SMA 2,Agency 5,Andaman and Nicobar Islands,West + Northeast India,Telecommunications,Personal Loan
1786,17066,17065,K20006982503824L,Cmshry Wyblib,16,SMA 1,Agency 2,Chandigarh,West + Central India,Manufacturing,Education Loan
2148,175503,175502,I37279954552849C,Tpozgd Gzxyor,19,SMA 1,Agency 3,Dadra and Nagar Haveli and Daman and Diu,West + Union Territories,Food and Beverage,Business Loan
1413,135521,105887,P48487631362170T,Oasmrl Hzoqkj,19,SMA 0,Agency 4,Lakshadweep,Northeast + Central India,Energy,Mortgage Loan
1498,208665,22500,A66892885019202C,Egpwxc Yuuexe,14,SMA 1,Agency 2,Puducherry,Northeast + Union Territories,Automotive,Education Loan
2353,183348,29508,D16836242887953S,Fnazdb Yuctch,17,SMA 2,Agency 4,Delhi,Central + Union Territories,Pharmaceuticals,Home Loan
1851,25226,25225,X30218370446524A,Iubcxi Nnqrrj,18,SMA 2,Agency 3,Haryana,North + East India,Retail,Education Loan
678,246779,135516,P61758882077941X,Ysybio Wpblim,13,SMA 0,Agency 1,Himachal Pradesh,North + West India,Retail,Overdraft Facility
1561,188207,188206,C74974064747363H,Czhdhv Icjmwe,13,SMA 1,Agency 8,Jammu and Kashmir,North + Northeast India,Energy,Gold Loan
2421,6848,6847,R59273281902048U,Xxjclv Xufbwe,16,SMA 2,Agency 2,Punjab,North + Central India,Food and Beverage,Mortgage Loan
1349,185581,172370,O81725018504169O,Thjoxl Hjxpam,20,SMA 0,Agency 7,Rajasthan,North + Union Territories,Automotive,Education Loan
656,207146,6610,Q46634821770262Q,Bosjas Eylwqe,11,SMA 0,Agency 4,Uttar Pradesh,South + East India,Technology,Overdraft Facility
1160,101331,101330,S32348449985020H,Khmizv Zepabs,16,SMA 1,Agency 1,Uttarakhand,South + West India,Healthcare,Education Loan
705,52613,52612,X19935518334888J,Riojer Bodvgk,11,SMA 0,Agency 2,Andhra Pradesh,South + Northeast India,Automotive,Education Loan
2384,73372,73371,M80461123780456N,Jogtho Yzsssi,14,SMA 1,Agency 5,Karnataka,South + Central India,Pharmaceuticals,Home Loan
1766,230423,136269,S13431740105255N,Dkjafn Wjabnz,15,SMA 2,Agency 7,Kerala,South + Union Territories,Pharmaceuticals,Mortgage Loan
1251,186884,72176,V93335749994826D,Wpfjkb Eoacuf,20,SMA 1,Agency 7,Tamil Nadu,East + West India,Technology,Overdraft Facility
931,232403,71151,U14419512444835X,Tgodsi Wiyzpp,13,SMA 0,Agency 3,Telangana,East + Northeast India,Pharmaceuticals,Car Loan
788,14951,14950,G49225982809780C,Oynzup Bvbhbj,15,SMA 0,Agency 1,Bihar,East + Central India,Manufacturing,Loan Against Property
971,189182,189181,H86944626552708D,Jmjvvk Ulgvui,16,SMA 2,Agency 7,Jharkhand,East + Union Territories,Manufacturing,Loan Against Property
1692,225821,75713,K85958009296490E,Fjzfjp Lzknqy,18,SMA 2,Agency 6,Odisha,West + Northeast India,Technology,Loan Against Property
2417,16990,16989,O23916460051749S,Wxuxrp Vzrmpw,12,SMA 0,Agency 6,West Bengal,West + Central India,Automotive,Car Loan
656,146546,25935,G95880281935634P,Zghwhs Tbwycs,11,SMA 1,Agency 7,Sikkim,West + Union Territories,Technology,Business Loan
268,68326,68325,N52648332015843W,Jhylyl Mnnsdn,11,SMA 0,Agency 2,Andaman and Nicobar Islands,Northeast + Central India,Energy,Consumer Durable Loan
2380,120054,120053,G45003702234040I,Croeef Syrpmk,11,SMA 1,Agency 8,Goa,Northeast + Union Territories,Healthcare,Overdraft Facility
2484,9918,9917,X28769706932183D,Mlmfwe Jehppu,19,SMA 2,Agency 1,Gujarat,Central + Union Territories,Healthcare,Education Loan
1111,182743,182742,I26757050653635L,Ilsigd Sdfjeg,20,SMA 0,Agency 2,Maharashtra,North + East India,Technology,Education Loan
1525,93369,45239,C54488679066273E,Uhnimg Dnxezs,13,SMA 2,Agency 7,Dadra and Nagar Haveli and Daman and Diu,North + West India,Technology,Personal Loan
1179,71566,19188,J20264183838644V,Ilqffo Hoagbx,11,SMA 1,Agency 2,Arunachal Pradesh,North + Northeast India,Energy,Education Loan
129,160254,117351,U84551831123738S,Navidp Ofpyzd,11,SMA 0,Agency 8,Assam,North + Central India,Retail,Home Loan
271,4763,4762,F61142220916066O,Hfyldq Maytid,12,SMA 2,Agency 3,Manipur,North + Union Territories,Pharmaceuticals,Education Loan
633,41471,41470,D88274220121117P,Gdbngk Lmrhei,14,SMA 1,Agency 1,Meghalaya,South + East India,Automotive,Business Loan
583,116235,42903,D14013569916466G,Sdmlkz Cvhptm,19,SMA 0,Agency 7,Mizoram,South + West India,Energy,Gold Loan
1794,535,534,K37881390573917A,Ujuoom Ndrfse,17,SMA 2,Agency 3,Nagaland,South + Northeast India,Technology,Overdraft Facility
2395,85899,85898,B47471562546263A,Rfstsr Qtvmps,14,SMA 1,Agency 4,Tripura,South + Central India,Manufacturing,Overdraft Facility
2325,140613,40701,G76502055607722L,Pelqiv Jkxipw,10,SMA 0,Agency 1,and the hill states of Himachal Pradesh,South + Union Territories,Finance,Education Loan
466,1157,1156,H50967219376051F,Jquyii Swptlv,12,SMA 0,Agency 5,Tripura,East + West India,Pharmaceuticals,Overdraft Facility
1723,203673,59592,X10083726751941S,Zbhggy Wgnbeg,19,SMA 1,Agency 7,and Sikkim,East + Northeast India,Automotive,Loan Against Property
2151,181577,181576,H15784264892251S,Etffuo Kplbnj,14,SMA 1,Agency 5,Chhattisgarh,East + Central India,Technology,Consumer Durable Loan
1676,179909,179908,S65490291374554T,Oivjmt Hdnxap,16,SMA 2,Agency 2,Madhya Pradesh,East + Union Territories,Automotive,Gold Loan
2428,151926,131430,D69420705266776T,Ibjtkc Ehqyks,11,SMA 2,Agency 4,Andaman and Nicobar Islands,West + Northeast India,Food and Beverage,Education Loan
2134,14345,14344,N15603635486537S,Ajwwke Xioahk,13,SMA 2,Agency 6,Chandigarh,West + Central India,Finance,Home Loan
1013,39358,39357,D67591757710857O,Kfdnns Boliuv,19,SMA 1,Agency 6,Dadra and Nagar Haveli and Daman and Diu,West + Union Territories,Pharmaceuticals,Home Loan
925,236454,138942,H85374947713950A,Njqwdk Jquklf,15,SMA 0,Agency 3,Lakshadweep,Northeast + Central India,Technology,Overdraft Facility
2157,199404,52101,F11114893308963I,Irqmiz Fiwnsc,12,SMA 1,Agency 2,Puducherry,Northeast + Union Territories,Energy,Mortgage Loan
1440,159284,159283,Q39519691034272N,Fthzlr Qemlhs,14,SMA 1,Agency 5,Delhi,Central + Union Territories,Retail,Consumer Durable Loan
1183,81101,81100,B44479397699460F,Lltuat Kpwalc,16,SMA 0,Agency 4,Haryana,North + East India,Healthcare,Mortgage Loan
1542,198249,75974,P48571860677915B,Slpink Wgvppv,19,SMA 1,Agency 1,Himachal Pradesh,North + West India,Healthcare,Mortgage Loan
297,26361,26360,I58601146915984N,Imtbvr Ylyvry,19,SMA 2,Agency 8,Jammu and Kashmir,North + Northeast India,Retail,Business Loan
1829,161839,161838,U69418966895987F,Jrfrho Sjkuds,10,SMA 2,Agency 7,Punjab,North + Central India,Finance,Gold Loan
2264,194037,70006,J95397043270193E,Onqchz Tveovg,12,SMA 1,Agency 1,Rajasthan,North + Union Territories,Healthcare,Consumer Durable Loan
1337,111776,111775,V54638858867755T,Cqzfij Uacmxk,10,SMA 2,Agency 7,Uttar Pradesh,South + East India,Technology,Car Loan
2182,134904,103435,Y15405790072649J,Opqtrl Ebrdjy,13,SMA 2,Agency 6,Uttarakhand,South + West India,Technology,Business Loan
1616,208676,124372,L88763010299853Q,Sufewu Eehalx,16,SMA 1,Agency 6,Andhra Pradesh,South + Northeast India,Telecommunications,Home Loan
800,52399,52398,H94215901847640W,Svqbav Obsfck,11,SMA 2,Agency 6,Karnataka,South + Central India,Telecommunications,Overdraft Facility
986,97753,97752,C34990308294785K,Ntnlmv Xwkuuf,17,SMA 2,Agency 3,Kerala,South + Union Territories,Food and Beverage,Personal Loan
375,99123,81879,I23716747649202Z,Svwmlp Gligbg,17,SMA 2,Agency 6,Tamil Nadu,East + West India,Food and Beverage,Mortgage Loan
1695,26207,26206,U73185993711241W,Qumexr Bxrorl,14,SMA 0,Agency 5,Telangana,East + Northeast India,Retail,Gold Loan
2373,42036,42035,I83787779581834B,Apkfyz Hqjorv,12,SMA 0,Agency 5,Bihar,East + Central India,Energy,Mortgage Loan
2127,138926,138925,Q82328285758219S,Usvbxo Usrfgx,14,SMA 1,Agency 6,Jharkhand,East + Union Territories,Pharmaceuticals,Gold Loan
1331,56876,56875,O13723679258733Y,Lqjped Mibojl,16,SMA 2,Agency 8,Odisha,West + Northeast India,Finance,Home Loan
1395,165567,165566,V30967643324623S,Uxgqfn Qtvqcf,13,SMA 0,Agency 4,West Bengal,West + Central India,Healthcare,Mortgage Loan
1506,136408,136407,W35546802941890K,Swfsbe Qvtfgq,17,SMA 2,Agency 3,Sikkim,West + Union Territories,Technology,Car Loan
1403,170458,170457,K91798751650003V,Fwuzap Oukpwo,11,SMA 0,Agency 8,Andaman and Nicobar Islands,Northeast + Central India,Retail,Consumer Durable Loan
107,32002,32001,K16779872201101C,Bkddpp Txrona,14,SMA 0,Agency 1,Goa,Northeast + Union Territories,Manufacturing,Mortgage Loan
800,195845,195844,Z45736732687892E,Dxotkh Hdcrwv,15,SMA 0,Agency 6,Gujarat,Central + Union Territories,Manufacturing,Loan Against Property
715,9906,9905,B39313146184985I,Evlmkl Fkemag,18,SMA 0,Agency 6,Maharashtra,North + East India,Telecommunications,Overdraft Facility
2163,50688,50687,T33587194657382K,Bxzvbh Vfmbec,13,SMA 2,Agency 6,Dadra and Nagar Haveli and Daman and Diu,North + West India,Retail,Education Loan
388,187178,187177,Q38086331871262E,Ewsyzm Egkynl,13,SMA 1,Agency 7,Arunachal Pradesh,North + Northeast India,Healthcare,Education Loan
1338,157381,126849,T30798508483455H,Ernibi Mtkdlq,12,SMA 2,Agency 7,Assam,North + Central India,Food and Beverage,Gold Loan
1929,101812,101811,Y12366288594637Y,Hzbwef Dkcvay,17,SMA 2,Agency 3,Manipur,North + Union Territories,Finance,Mortgage Loan
121,127522,8725,X38457202740665S,Ucwxwo Lubpsf,14,SMA 1,Agency 1,Meghalaya,South + East India,Retail,Business Loan
752,82521,17640,X86516306513050U,Sgxcgn Vbdoxj,16,SMA 2,Agency 7,Mizoram,South + West India,Telecommunications,Overdraft Facility
1923,32088,32087,W19029381571868S,Hkimzr Piycwd,16,SMA 2,Agency 3,Nagaland,South + Northeast India,Pharmaceuticals,Home Loan
1197,4127,4126,M49475604718612T,Mifzmo Zndrkx,13,SMA 0,Agency 8,Tripura,South + Central India,Pharmaceuticals,Car Loan
1990,47789,47788,D70469621173281D,Obnmne Pnyifa,11,SMA 2,Agency 6,and the hill states of Himachal Pradesh,South + Union Territories,Telecommunications,Consumer Durable Loan
422,70039,14208,C65186316900951R,Krqunv Zlikyj,13,SMA 0,Agency 6,Tripura,East + West India,Food and Beverage,Personal Loan
2289,12561,12560,P13847940574404M,Gfojah Mecqgg,18,SMA 0,Agency 2,and Sikkim,East + Northeast India,Technology,Personal Loan
